wavelength,temp 10,temp 20,temp 30,temp 40,temp 50,temp 25 (500),temp 25 (1000),reference temp 25
1.559020000E-06,-15.09460228,-13.49371056,-22.14179019,-17.69934935,-13.31162767,-16.39655143,-15.77649768,-16.39646212
1.559020000E-06,-15.08510999,-13.44824483,-22.10683527,-17.6919098,-13.27474002,-16.34388415,-15.71998684,-16.34379524
1.559020000E-06,-15.05282092,-13.4414436,-22.06601161,-17.66148739,-13.2557356,-16.31668424,-15.71151892,-16.31659554
1.559020000E-06,-15.04148432,-13.41859517,-21.99491038,-17.63577823,-13.19004291,-16.22257263,-15.68300529,-16.22248464
1.559020000E-06,-15.0203822,-13.38058876,-21.96736419,-17.61520416,-13.17460608,-16.20043259,-15.63550839,-16.20034477
1.559020000E-06,-14.98269729,-13.35646987,-21.93276374,-17.59688477,-13.15336931,-16.16987281,-15.60532581,-16.16978523
1.559020000E-06,-14.92281388,-13.34575906,-21.91510933,-17.57552392,-13.13229891,-16.13946097,-15.59189361,-16.13937363
1.559020000E-06,-14.90743421,-13.29956611,-21.86166315,-17.57021848,-13.11857222,-16.11958172,-15.53387937,-16.11949454
1.559020000E-06,-14.88080909,-13.23423202,-21.80643866,-17.55769195,-13.09331628,-16.08289117,-15.45183841,-16.08280428
1.559020000E-06,-14.8567638,-13.16071805,-21.72521405,-17.54771308,-13.04391153,-16.01102947,-15.35961397,-16.01094317
1.559020000E-06,-14.84578571,-13.13379377,-21.58793772,-17.53679892,-13.00100138,-15.94859526,-15.32583095,-15.94850947
1.559020000E-06,-14.83258402,-13.10929236,-21.56497305,-17.52989543,-12.97332225,-15.90826438,-15.29503882,-15.90817892
1.559020000E-06,-14.81297607,-13.08325376,-21.5066051,-17.52314861,-12.96442712,-15.89526184,-15.26226226,-15.89517648
1.559020000E-06,-14.80166129,-13.06319514,-21.46859828,-17.50171646,-12.88069883,-15.77284887,-15.23696957,-15.77276454
1.559020000E-06,-14.77401544,-13.04097096,-21.41344314,-17.48061997,-12.84493243,-15.72062084,-15.20889526,-15.72053695
1.559020000E-06,-14.76951445,-13.02622584,-21.36755829,-17.47207658,-12.81841934,-15.68183485,-15.19023211,-15.68175128
1.559020000E-06,-14.74019267,-13.00384392,-21.35831758,-17.46006602,-12.76666563,-15.60605399,-15.16184793,-15.60597106
1.559020000E-06,-14.72895902,-12.94555139,-21.23450721,-17.45785011,-12.72150959,-15.53993837,-15.0878801,-15.539856
1.559020000E-06,-14.71204495,-12.91149456,-21.16575227,-17.44609721,-12.71194665,-15.52590612,-15.04465586,-15.52582387
1.559020000E-06,-14.68851762,-12.85370184,-21.09713289,-17.43856403,-12.69745554,-15.50456159,-14.97129074,-15.50447952
1.559020000E-06,-14.67319696,-12.84988721,-21.01272405,-17.43173747,-12.66243847,-15.4528604,-14.96644265,-15.45277878
1.559020000E-06,-14.66618791,-12.84338888,-20.95895181,-17.42260249,-12.61633054,-15.38474071,-14.95816123,-15.38465969
1.559020000E-06,-14.65272453,-12.79038002,-20.84488596,-17.40721343,-12.59788875,-15.35745282,-14.89052883,-15.35737205
1.559020000E-06,-14.63453585,-12.78801566,-20.72062867,-17.40417268,-12.57162374,-15.31848772,-14.88750832,-15.3184073
1.559020000E-06,-14.61328222,-12.76814922,-20.65970878,-17.39982376,-12.54362569,-15.27686626,-14.86206962,-15.27678621
1.559020000E-06,-14.58515916,-12.67319707,-20.56243754,-17.38577263,-12.49974988,-15.21157312,-14.74056676,-15.21149366
1.559020000E-06,-14.5697598,-12.63073091,-20.55548935,-17.3834741,-12.48836493,-15.19459732,-14.6863008,-15.19451802
1.559020000E-06,-14.55037744,-12.62390516,-20.42490094,-17.37415818,-12.45455003,-15.14405057,-14.67756578,-15.14397173
1.559020000E-06,-14.54412185,-12.57736413,-20.24763089,-17.36046224,-12.44728766,-15.13316503,-14.61792957,-15.13308629
1.559020000E-06,-14.53176807,-12.52312821,-20.20671124,-17.34991889,-12.43979673,-15.12188949,-14.54845063,-15.12181086
